ego_s,s_ahead
2000.0000025866925,2050.000001026559
2000.0000025866925,2050.0019393796993
2000.0000025866925,2050.002235138802
2000.0000025866925,2050.002143708867
2000.0000025866925,2050.0020343907477
2000.0000025866925,2050.001973240244
2000.0000025866925,2050.001927534214
2000.0000025866925,2050.001912089728
2000.0000025866925,2050.001902823034
2000.0000025866925,2050.001899734136
2000.0000025866925,2050.001899734136
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0000025866925,2050.001893556338
2000.0445894211016,2050.001893556338
2000.2341679581382,2050.0525998808835
2000.5481916847766,2050.2493369112663
2000.942050885266,2050.5524100921252
2001.36837432388,2050.912868419696
2001.7985439626586,2051.278559411847
2002.2320929965965,2051.622888465805
2002.6832729109653,2051.9368668751667
2003.149688825593,2052.2178963957554
2003.6200642211597,2052.486015249489
2004.0992282956827,2052.7754326051113
2004.5984586880643,2053.10190647503
2005.111987091031,2053.4630812450846
2005.6338430789299,2053.830786538266
2006.1716623163907,2054.178490876648
2006.732940369545,2054.5027748247016
2007.3100755455453,2054.8231849700164
2007.8979794860106,2055.146140322171
2008.503049771708,2055.468525654311
2009.1286971874615,2055.7903543625002
2009.7682531165374,2056.111606829779
2010.420838517123,2056.4336532808234
2011.0918902140554,2056.7935801854765
2011.7799455913337,2057.2073352194643
2012.480906166299,2057.671971384051
2013.1975649304006,2058.166116484947
2013.9323616263193,2058.657444007633
2014.6821109782422,2059.129384091095
2015.4462917029796,2059.5880763944724
2016.2273342091564,2060.057139969067
2017.0244436512764,2060.558171543499
2017.8362364068782,2061.096895359454
2018.6638416317803,2061.6513547729014
2019.50765864341,2062.19225045881
2020.3667232772602,2062.7079956091866
2021.241137971505,2063.21085555788
2022.1314664169017,2063.7300031203445
2023.0372436318896,2064.2607449975994
2023.9582788237162,2064.790329125625
2024.8949430450007,2065.318970243952
2025.847064190088,2065.846666735833
2026.8143068628347,2066.373379286056
2027.7968685794285,2066.922169493759
2028.7948138696443,2067.519607662992
2029.807882750996,2068.1637856813118
2030.8360282166948,2068.8416003702205
2031.8792378764663,2069.5258146799115
2032.9374594117758,2070.196986746184
2034.0106015585886,2070.85387197704
2035.098610905022,2071.512001554098
2036.2014584577355,2072.1933664430185
2037.319010839567,2072.907516201866
2038.4511926787566,2073.6433670268275
2039.597941219895,2074.3779789533796
2040.759331160546,2075.09943278056
2041.9350220992662,2075.815988750264
2043.1249983939629,2076.549279435122
2044.3294352565279,2077.300454801177
2045.5480494191113,2078.0502966161307
2046.7807037698649,2078.798848388629
2048.0273077711845,2079.546216626663
2049.2881479739563,2080.2923398253165
2050.562752575507,2081.048637023154
2051.8509240446797,2081.843175533306
2053.1531199307774,2082.6763737729216
2054.468806986838,2083.536466040549
2055.7975508296363,2084.403691737781
2057.136654656449,2085.264617921884
2058.4791278495222,2086.1204381842945
2059.8196261531866,2086.98150535628
2061.158258377932,2087.8583435711917
2062.4950112266683,2088.75378783967
2063.827606921282,2089.6643651227796
2065.1554143610856,2090.5839312727326
2066.478159214684,2091.508914083007
2067.7934970334877,2092.439535420722
2069.099506852883,2093.378314694302
2070.3968342515473,2094.3276406120262
2071.6856870168513,2095.2883602422576
2072.965380412735,2096.259906658423
2074.2361342317668,2097.240927215202
2075.498561580838,2098.2307284920835
2076.75244177048,2099.2293002305823
2077.997722872879,2100.23681441786
2079.234908379609,2101.25359469249
2080.464672036318,2102.2801247783377
2081.687557387193,2103.3163273386526
2082.903969429069,2104.3620228346263
2084.114714132542,2105.4167210476203
2085.3203520637376,2106.4724195540307
2086.5202707249287,2107.52592043208
2087.71364868215,2108.5774135152
2088.9000160506957,2109.626766681485
